tz_canonical,tz_alt
Africa/Nairobi,Africa/Asmera
America/Adak,America/Atka
America/Argentina/Buenos_Aires,America/Buenos_Aires
America/Argentina/Catamarca,America/Catamarca
America/Argentina/Cordoba,America/Cordoba
America/Indiana/Indianapolis,America/Fort_Wayne
America/Nuuk,America/Godthab
America/Indiana/Indianapolis,America/Indianapolis
America/Argentina/Jujuy,America/Jujuy
America/Indiana/Knox,America/Knox_IN
America/Puerto_Rico,America/Kralendijk
America/Kentucky/Louisville,America/Louisville
America/Puerto_Rico,America/Lower_Princes
America/Puerto_Rico,America/Marigot
America/Argentina/Mendoza,America/Mendoza
America/Rio_Branco,America/Porto_Acre
America/Tijuana,America/Santa_Isabel
America/Denver,America/Shiprock
America/Puerto_Rico,America/St_Barthelemy
America/Puerto_Rico,America/Virgin
Pacific/Auckland,Antarctica/South_Pole
Europe/Oslo,Arctic/Longyearbyen
Asia/Ashgabat,Asia/Ashkhabad
Asia/Kolkata,Asia/Calcutta
Asia/Shanghai,Asia/Chungking
Asia/Dhaka,Asia/Dacca
Europe/Istanbul,Asia/Istanbul
Asia/Kathmandu,Asia/Katmandu
Asia/Macau,Asia/Macao
Asia/Yangon,Asia/Rangoon
Asia/Ho_Chi_Minh,Asia/Saigon
Asia/Thimphu,Asia/Thimbu
Asia/Makassar,Asia/Ujung_Pandang
Asia/Ulaanbaatar,Asia/Ulan_Bator
Atlantic/Faroe,Atlantic/Faeroe
Australia/Sydney,Australia/ACT
Australia/Sydney,Australia/Canberra
Australia/Lord_Howe,Australia/LHI
Australia/Darwin,Australia/North
Australia/Sydney,Australia/NSW
Australia/Brisbane,Australia/Queensland
Australia/Adelaide,Australia/South
Australia/Hobart,Australia/Tasmania
Australia/Melbourne,Australia/Victoria
Australia/Perth,Australia/West
Australia/Broken_Hill,Australia/Yancowinna
America/Rio_Branco,Brazil/Acre
America/Noronha,Brazil/DeNoronha
America/Sao_Paulo,Brazil/East
America/Manaus,Brazil/West
America/Halifax,Canada/Atlantic
America/Winnipeg,Canada/Central
America/Toronto,Canada/Eastern
America/Edmonton,Canada/Mountain
America/St_Johns,Canada/Newfoundland
America/Vancouver,Canada/Pacific
America/Regina,Canada/Saskatchewan
America/Whitehorse,Canada/Yukon
America/Santiago,Chile/Continental
Pacific/Easter,Chile/EasterIsland
America/Havana,Cuba
Africa/Cairo,Egypt
Europe/Dublin,Eire
Etc/GMT,Etc/GMT+0
Etc/GMT,Etc/GMT-0
Etc/GMT,Etc/GMT0
Etc/GMT,Etc/Greenwich
Etc/UTC,Etc/UCT
Etc/UTC,Etc/Universal
Etc/UTC,Etc/Zulu
Europe/Prague,Europe/Bratislava
Europe/Zurich,Europe/Busingen
Europe/Helsinki,Europe/Mariehamn
Asia/Nicosia,Europe/Nicosia
Europe/Belgrade,Europe/Podgorica
Europe/Rome,Europe/San_Marino
Europe/Rome,Europe/Vatican
Europe/London,GB
Europe/London,GB-Eire
Etc/GMT,GMT
Etc/GMT,GMT+0
Etc/GMT,GMT-0
Etc/GMT,GMT0
Etc/GMT,Greenwich
Asia/Hong_Kong,Hongkong
Atlantic/Reykjavik,Iceland
Asia/Tehran,Iran
Asia/Jerusalem,Israel
America/Jamaica,Jamaica
Asia/Tokyo,Japan
Pacific/Kwajalein,Kwajalein
Africa/Tripoli,Libya
America/Tijuana,Mexico/BajaNorte
America/Mazatlan,Mexico/BajaSur
America/Mexico_City,Mexico/General
America/Denver,Navajo
Pacific/Auckland,NZ
Pacific/Chatham,NZ-CHAT
Pacific/Pohnpei,Pacific/Ponape
Pacific/Pago_Pago,Pacific/Samoa
Pacific/Chuuk,Pacific/Truk
Pacific/Chuuk,Pacific/Yap
Europe/Warsaw,Poland
Europe/Lisbon,Portugal
Asia/Shanghai,PRC
Asia/Taipei,ROC
Asia/Seoul,ROK
Asia/Singapore,Singapore
Europe/Istanbul,Turkey
Etc/UTC,UCT
Etc/UTC,Universal
America/Anchorage,US/Alaska
America/Adak,US/Aleutian
America/Phoenix,US/Arizona
America/Chicago,US/Central
America/Indiana/Indianapolis,US/East-Indiana
America/New_York,US/Eastern
Pacific/Honolulu,US/Hawaii
America/Indiana/Knox,US/Indiana-Starke
America/Detroit,US/Michigan
America/Denver,US/Mountain
America/Los_Angeles,US/Pacific
Pacific/Pago_Pago,US/Samoa
Etc/UTC,UTC
Europe/Moscow,W-SU
Europe/Moscow,Zulu
Africa/Abidjan,Africa/Accra
Africa/Nairobi,Africa/Addis_Ababa
Africa/Nairobi,Africa/Asmara
Africa/Abidjan,Africa/Bamako
Africa/Lagos,Africa/Bangui
Africa/Abidjan,Africa/Banjul
Africa/Maputo,Africa/Blantyre
Africa/Lagos,Africa/Brazzaville
Africa/Maputo,Africa/Bujumbura
Africa/Abidjan,Africa/Conakry
Africa/Abidjan,Africa/Dakar
Africa/Nairobi,Africa/Dar_es_Salaam
Africa/Nairobi,Africa/Djibouti
Africa/Lagos,Africa/Douala
Africa/Abidjan,Africa/Freetown
Africa/Maputo,Africa/Gaborone
Africa/Maputo,Africa/Harare
Africa/Nairobi,Africa/Kampala
Africa/Maputo,Africa/Kigali
Africa/Lagos,Africa/Kinshasa
Africa/Lagos,Africa/Libreville
Africa/Abidjan,Africa/Lome
Africa/Lagos,Africa/Luanda
Africa/Maputo,Africa/Lubumbashi
Africa/Maputo,Africa/Lusaka
Africa/Lagos,Africa/Malabo
Africa/Johannesburg,Africa/Maseru
Africa/Johannesburg,Africa/Mbabane
Africa/Nairobi,Africa/Mogadishu
Africa/Lagos,Africa/Niamey
Africa/Abidjan,Africa/Nouakchott
Africa/Abidjan,Africa/Ouagadougou
Africa/Lagos,Africa/Porto-Novo
Africa/Abidjan,Africa/Timbuktu
America/Puerto_Rico,America/Anguilla
America/Puerto_Rico,America/Antigua
America/Argentina/Catamarca,America/Argentina/ComodRivadavia
America/Puerto_Rico,America/Aruba
America/Panama,America/Atikokan
America/Puerto_Rico,America/Blanc-Sablon
America/Panama,America/Cayman
America/Panama,America/Coral_Harbour
America/Phoenix,America/Creston
America/Puerto_Rico,America/Curacao
America/Puerto_Rico,America/Dominica
America/Tijuana,America/Ensenada
America/Puerto_Rico,America/Grenada
America/Puerto_Rico,America/Guadeloupe
America/Toronto,America/Montreal
America/Puerto_Rico,America/Montserrat
America/Toronto,America/Nassau
America/Puerto_Rico,America/Port_of_Spain
America/Argentina/Cordoba,America/Rosario
America/Puerto_Rico,America/St_Kitts
America/Puerto_Rico,America/St_Lucia
America/Puerto_Rico,America/St_Thomas
America/Puerto_Rico,America/St_Vincent
America/Puerto_Rico,America/Tortola
Pacific/Port_Moresby,Antarctica/DumontDUrville
Pacific/Auckland,Antarctica/McMurdo
Asia/Riyadh,Antarctica/Syowa
Asia/Riyadh,Asia/Aden
Asia/Qatar,Asia/Bahrain
Asia/Shanghai,Asia/Chongqing
Asia/Shanghai,Asia/Harbin
Asia/Urumqi,Asia/Kashgar
Asia/Riyadh,Asia/Kuwait
Asia/Dubai,Asia/Muscat
Asia/Bangkok,Asia/Phnom_Penh
Asia/Jerusalem,Asia/Tel_Aviv
Asia/Bangkok,Asia/Vientiane
Europe/Oslo,Atlantic/Jan_Mayen
Africa/Abidjan,Atlantic/St_Helena
Australia/Hobart,Australia/Currie
Europe/London,Europe/Belfast
Europe/London,Europe/Guernsey
Europe/London,Europe/Isle_of_Man
Europe/London,Europe/Jersey
Europe/Belgrade,Europe/Ljubljana
Europe/Belgrade,Europe/Sarajevo
Europe/Belgrade,Europe/Skopje
Europe/Chisinau,Europe/Tiraspol
Europe/Zurich,Europe/Vaduz
Europe/Belgrade,Europe/Zagreb
Africa/Nairobi,Indian/Antananarivo
Africa/Nairobi,Indian/Comoro
Africa/Nairobi,Indian/Mayotte
Pacific/Kanton,Pacific/Enderbury
Pacific/Honolulu,Pacific/Johnston
Pacific/Pago_Pago,Pacific/Midway
Pacific/Guam,Pacific/Saipan
